EM Mode,Readout Rate,Preamp,9914,9915,9916,9917
EM,30,1,197.00,219.00,209.00,188.00
EM,30,2,106.00,130.00,119.00,111.00
EM,20,1,141.00,138.00,158.00,148.00
EM,20,2,65.50,73.20,67.90,67.50
EM,10,1,77.50,80.00,76.10,78.60
EM,10,2,39.50,40.00,40.00,39.20
EM,1,1,24.90,24.40,24.80,25.10
EM,1,2,12.40,12.30,12.20,12.20
Conventional,1,1,6.66,6.57,6.67,6.55
Conventional,1,2,4.82,4.84,4.76,4.65
Conventional,0.1,1,8.87,8.70,8.78,8.43
Conventional,0.1,2,3.47,3.40,3.46,3.21
